id,year,county,cause,sex,age_code,N
935,100,111,25,2,22,1
936,100,111,25,1,22,3
937,100,111,25,1,23,1
938,100,111,25,2,24,1
939,100,111,26,2,17,1
940,100,111,26,1,20,2
941,100,111,26,1,23,1
942,100,111,26,1,25,1
943,100,111,27,1,12,1
944,100,111,27,1,14,1
945,100,111,27,2,17,1
946,100,111,27,1,17,1
947,100,111,27,1,19,1
948,100,111,27,2,22,1
949,100,111,27,1,22,1
950,100,111,30,1,21,1
951,100,111,31,1,15,1
952,100,111,31,1,17,4
953,100,111,31,2,19,2
954,100,111,31,1,19,4
955,100,111,31,2,21,3
956,100,111,31,2,22,1
957,100,111,31,1,22,1
958,100,111,31,1,23,1
959,100,111,31,1,24,1
960,100,111,32,2,2,1
961,100,111,32,1,12,1
962,100,111,32,2,13,1
963,100,111,32,1,13,1
964,100,111,32,1,16,1
965,100,111,32,2,17,1
966,100,111,32,2,19,1
967,100,111,32,1,19,1
968,100,111,33,2,15,1
969,100,111,33,1,15,1
970,100,111,33,2,17,1
971,100,111,33,1,17,1
972,100,111,33,2,20,3
973,100,111,33,1,20,2
974,100,111,33,1,21,1
975,100,111,33,2,22,3
976,100,111,33,2,23,2
977,100,111,33,1,23,2
978,100,111,33,1,24,1
979,100,112,1,1,14,2
980,100,112,1,1,16,4
981,100,112,1,1,17,1
982,100,112,1,1,19,1
983,100,112,1,1,22,1
984,100,112,1,1,24,1
985,100,112,3,1,14,1
986,100,112,3,1,20,1
987,100,112,3,1,22,1
988,100,112,4,1,15,2
989,100,112,4,1,18,1
990,100,112,5,1,17,1
991,100,112,5,1,18,2
992,100,112,5,2,18,3
